freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.130e+01,1.633e+01,4.949e+02,5.225e+02
1.6,2.662e+01,2.279e+01,2.910e+02,3.404e+02
3.1,2.866e+01,1.844e+01,4.229e+01,8.939e+01
4.7,2.802e+01,1.721e+01,3.608e+02,4.061e+02
6.2,3.053e+01,1.956e+01,1.224e+03,1.274e+03
7.8,3.214e+01,1.935e+01,2.030e+03,2.082e+03
9.4,3.116e+01,1.906e+01,2.911e+03,2.961e+03
10.9,3.029e+01,2.143e+01,4.043e+03,4.095e+03
12.5,2.918e+01,2.273e+01,5.455e+03,5.507e+03
14.1,2.612e+01,2.270e+01,7.141e+03,7.190e+03
15.6,3.196e+01,3.021e+01,9.285e+03,9.347e+03
17.2,4.780e+01,3.371e+01,1.205e+04,1.213e+04
18.7,4.622e+01,3.054e+01,1.525e+04,1.533e+04
20.3,4.389e+01,4.469e+01,1.956e+04,1.965e+04
21.9,4.505e+01,5.758e+01,2.130e+04,2.140e+04
23.4,4.424e+01,3.766e+01,2.042e+04,2.050e+04
25.0,3.991e+01,3.789e+01,2.381e+04,2.389e+04
26.5,4.105e+01,8.077e+01,2.945e+04,2.957e+04
28.1,3.808e+01,1.167e+02,3.647e+04,3.663e+04
29.7,3.677e+01,1.373e+02,4.495e+04,4.512e+04
31.2,3.991e+01,1.930e+02,5.615e+04,5.639e+04
32.8,3.867e+01,2.559e+02,7.133e+04,7.163e+04
34.4,4.227e+01,3.404e+02,8.791e+04,8.829e+04
35.9,5.754e+01,4.985e+02,9.381e+04,9.436e+04
37.5,8.243e+01,6.263e+02,1.044e+05,1.051e+05
39.0,9.008e+01,7.581e+02,1.335e+05,1.344e+05
40.6,7.850e+01,1.164e+03,1.837e+05,1.849e+05
42.2,6.469e+01,2.107e+03,2.679e+05,2.700e+05
43.7,1.459e+02,2.986e+03,3.896e+05,3.927e+05
45.3,8.204e+02,2.013e+03,5.504e+05,5.532e+05
46.8,2.603e+03,4.984e+03,7.547e+05,7.623e+05
48.4,2.434e+03,1.620e+04,1.050e+06,1.069e+06
50.0,3.763e+03,3.645e+04,1.423e+06,1.463e+06
51.5,8.822e+03,5.422e+04,1.555e+06,1.618e+06
53.1,9.355e+03,5.618e+04,1.506e+06,1.572e+06
54.6,1.115e+04,5.307e+04,1.235e+06,1.300e+06
56.2,1.238e+04,4.038e+04,8.045e+05,8.573e+05
57.8,1.182e+04,2.574e+04,4.889e+05,5.264e+05
59.3,1.133e+04,1.575e+04,3.513e+05,3.783e+05
60.9,9.630e+03,8.625e+03,2.739e+05,2.921e+05
62.5,6.154e+03,4.934e+03,2.246e+05,2.357e+05
64.0,3.005e+03,5.221e+03,1.970e+05,2.052e+05
65.6,1.543e+03,6.758e+03,1.808e+05,1.891e+05
67.1,8.755e+02,8.982e+03,1.643e+05,1.741e+05
68.7,5.389e+02,1.163e+04,1.550e+05,1.672e+05
70.3,1.030e+03,1.448e+04,1.677e+05,1.832e+05
71.8,2.519e+03,1.524e+04,1.871e+05,2.048e+05
73.4,5.122e+03,1.254e+04,2.361e+05,2.537e+05
74.9,6.305e+03,8.725e+03,2.743e+05,2.894e+05
76.5,7.401e+03,5.867e+03,3.200e+05,3.333e+05
