freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.996e+01,5.357e+02,1.611e+01,5.718e+02
1.5,1.955e+01,3.101e+02,2.277e+01,3.524e+02
3.1,1.224e+01,2.154e+01,1.902e+01,5.280e+01
4.6,1.209e+01,3.258e+02,2.021e+01,3.581e+02
6.2,1.209e+01,1.223e+03,2.132e+01,1.257e+03
7.7,1.224e+01,2.095e+03,2.167e+01,2.129e+03
9.2,1.285e+01,3.165e+03,2.305e+01,3.201e+03
10.8,1.290e+01,4.586e+03,2.251e+01,4.622e+03
12.3,1.364e+01,6.387e+03,2.163e+01,6.423e+03
13.8,1.489e+01,8.732e+03,2.390e+01,8.771e+03
15.4,1.506e+01,1.154e+04,2.350e+01,1.158e+04
16.9,1.625e+01,1.473e+04,2.217e+01,1.477e+04
18.5,1.995e+01,1.912e+04,2.256e+01,1.916e+04
20.0,2.326e+01,2.555e+04,2.268e+01,2.560e+04
21.5,3.199e+01,3.448e+04,2.285e+01,3.454e+04
23.1,4.489e+01,4.668e+04,2.996e+01,4.675e+04
24.6,6.974e+01,6.388e+04,4.571e+01,6.399e+04
26.2,1.045e+02,8.876e+04,5.931e+01,8.893e+04
27.7,1.617e+02,1.290e+05,7.907e+01,1.293e+05
29.2,2.481e+02,1.968e+05,1.282e+02,1.972e+05
30.8,4.272e+02,2.808e+05,2.387e+02,2.815e+05
32.3,8.601e+02,3.578e+05,7.229e+02,3.593e+05
33.8,1.649e+03,4.421e+05,1.594e+03,4.453e+05
35.4,2.347e+03,4.544e+05,1.897e+03,4.586e+05
36.9,3.120e+03,3.950e+05,1.423e+03,3.995e+05
38.5,4.828e+03,4.023e+05,9.356e+02,4.080e+05
40.0,7.421e+03,5.271e+05,6.237e+02,5.352e+05
41.5,1.009e+04,6.948e+05,7.127e+02,7.056e+05
43.1,1.084e+04,7.460e+05,1.039e+03,7.578e+05
44.6,9.292e+03,6.736e+05,1.463e+03,6.844e+05
46.1,6.320e+03,6.109e+05,2.052e+03,6.193e+05
47.7,2.714e+03,5.688e+05,2.586e+03,5.741e+05
49.2,8.347e+02,5.209e+05,3.278e+03,5.250e+05
50.8,5.612e+02,4.791e+05,4.250e+03,4.839e+05
52.3,1.251e+03,4.577e+05,5.692e+03,4.646e+05
53.8,3.129e+03,4.830e+05,7.472e+03,4.936e+05
55.4,6.331e+03,4.623e+05,8.809e+03,4.775e+05
56.9,1.027e+04,3.851e+05,1.097e+04,4.063e+05
58.5,1.387e+04,3.307e+05,1.565e+04,3.602e+05
60.0,1.641e+04,3.234e+05,2.254e+04,3.623e+05
61.5,1.657e+04,2.972e+05,2.524e+04,3.390e+05
63.1,1.369e+04,2.144e+05,2.141e+04,2.495e+05
64.6,1.033e+04,1.325e+05,1.523e+04,1.581e+05
66.1,7.499e+03,8.021e+04,9.591e+03,9.730e+04
67.7,4.928e+03,4.583e+04,7.572e+03,5.833e+04
69.2,3.515e+03,2.339e+04,7.368e+03,3.427e+04
70.8,3.817e+03,1.206e+04,7.414e+03,2.329e+04
72.3,4.918e+03,7.380e+03,8.373e+03,2.067e+04
73.8,6.765e+03,6.439e+03,8.539e+03,2.174e+04
75.4,9.586e+03,7.891e+03,6.970e+03,2.445e+04
76.9,1.261e+04,1.031e+04,5.265e+03,2.819e+04
78.5,1.569e+04,1.257e+04,5.072e+03,3.333e+04
80.0,2.008e+04,1.550e+04,5.687e+03,4.127e+04
81.5,2.497e+04,1.835e+04,5.808e+03,4.913e+04
83.1,2.825e+04,1.900e+04,4.644e+03,5.189e+04
84.6,3.205e+04,1.935e+04,5.088e+03,5.649e+04
86.1,3.230e+04,1.895e+04,6.736e+03,5.799e+04
87.7,3.287e+04,1.893e+04,7.302e+03,5.910e+04
89.2,4.281e+04,2.140e+04,8.763e+03,7.297e+04
90.8,6.700e+04,2.614e+04,1.364e+04,1.068e+05
